,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,IND,Indiana Pacers,22300533,2024-01-12,IND @ ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
3,2023-24,IND,Indiana Pacers,22300520,2024-01-10,IND vs. WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
6,2023-24,IND,Indiana Pacers,22300507,2024-01-08,IND vs. BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
7,2023-24,IND,Indiana Pacers,22300493,2024-01-06,IND vs. BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
1,2023-24,IND,Indiana Pacers,22300480,2024-01-05,IND vs. ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
10,2023-24,IND,Indiana Pacers,22300466,2024-01-03,IND vs. MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
11,2023-24,IND,Indiana Pacers,22300454,2024-01-01,IND @ MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
15,2023-24,IND,Indiana Pacers,22300441,2023-12-30,IND vs. NYK,1610612752,828,1392,0.595,0.591,1569,3310,0.474,0.478,502,1348,0.372,0.368,1067,1962,0.544,0.549,98.5,108.9
16,2023-24,IND,Indiana Pacers,22300422,2023-12-28,IND @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
18,2023-24,IND,Indiana Pacers,22300409,2023-12-26,IND @ HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
19,2023-24,IND,Indiana Pacers,22300391,2023-12-23,IND vs. ORL,1610612753,855,1450,0.59,0.59,1516,3188,0.476,0.476,438,1217,0.36,0.366,1078,1971,0.547,0.549,102.7,104.7
21,2023-24,IND,Indiana Pacers,22300377,2023-12-21,IND @ MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
22,2023-24,IND,Indiana Pacers,22300365,2023-12-20,IND vs. CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
24,2023-24,IND,Indiana Pacers,22300350,2023-12-18,IND vs. LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
25,2023-24,IND,Indiana Pacers,22300338,2023-12-16,IND @ MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
4,2023-24,IND,Indiana Pacers,22300328,2023-12-15,IND @ WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
12,2023-24,IND,Indiana Pacers,22300315,2023-12-13,IND @ MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
26,2023-24,IND,Indiana Pacers,22300293,2023-12-11,IND @ DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
13,2023-24,IND,Indiana Pacers,22301229,2023-12-07,IND @ MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
8,2023-24,IND,Indiana Pacers,22301202,2023-12-04,IND vs. BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
28,2023-24,IND,Indiana Pacers,22300284,2023-12-02,IND @ MIA,1610612748,850,1377,0.617,0.586,1531,3180,0.481,0.474,492,1341,0.367,0.364,1039,1839,0.565,0.544,99.2,108.2
29,2023-24,IND,Indiana Pacers,22300267,2023-11-30,IND @ MIA,1610612748,850,1377,0.617,0.586,1531,3180,0.481,0.474,492,1341,0.367,0.364,1039,1839,0.565,0.544,99.2,108.2
30,2023-24,IND,Indiana Pacers,22300254,2023-11-27,IND vs. POR,1610612757,1021,1570,0.65,0.593,1648,3328,0.495,0.475,432,1268,0.341,0.365,1216,2060,0.59,0.549,100.5,111.5
27,2023-24,IND,Indiana Pacers,22300047,2023-11-24,IND vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
31,2023-24,IND,Indiana Pacers,22300230,2023-11-22,IND vs. TOR,1610612761,926,1571,0.589,0.585,1658,3424,0.484,0.472,505,1314,0.384,0.365,1153,2110,0.546,0.543,101.4,109.2
2,2023-24,IND,Indiana Pacers,22300039,2023-11-21,IND @ ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
20,2023-24,IND,Indiana Pacers,22300209,2023-11-19,IND vs. ORL,1610612753,855,1450,0.59,0.59,1516,3188,0.476,0.476,438,1217,0.36,0.366,1078,1971,0.547,0.549,102.7,104.7
32,2023-24,IND,Indiana Pacers,22300019,2023-11-14,IND @ PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
33,2023-24,IND,Indiana Pacers,22300180,2023-11-12,IND @ PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
14,2023-24,IND,Indiana Pacers,22300171,2023-11-09,IND vs. MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
34,2023-24,IND,Indiana Pacers,22300158,2023-11-08,IND vs. UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
35,2023-24,IND,Indiana Pacers,22300146,2023-11-06,IND vs. SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
23,2023-24,IND,Indiana Pacers,22300133,2023-11-04,IND vs. CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
36,2023-24,IND,Indiana Pacers,22300001,2023-11-03,IND vs. CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.366,1045,1996,0.524,0.545,100.9,110.0
9,2023-24,IND,Indiana Pacers,22300118,2023-11-01,IND @ BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
17,2023-24,IND,Indiana Pacers,22300102,2023-10-30,IND vs. CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
37,2023-24,IND,Indiana Pacers,22300091,2023-10-28,IND @ CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.366,1045,1996,0.524,0.545,100.9,110.0
5,2023-24,IND,Indiana Pacers,22300064,2023-10-25,IND vs. WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
